invoice_number,vendor_id,vendor_name,vendor_category,country,city,po_number,department,invoice_date,due_date,payment_terms,currency,amount,tax_rate,tax_amount,invoice_status,created_timestamp,is_fraud,fraud_type
INV-006128-34F2,VEND-4FDC059D,Singh Group Industries,Office Supplies,India,Panipat,PO-40C64FF2,HR,2024-06-28,2024-09-26,90,INR,19189.0,0.0843,1617.63,PAID,2024-06-28T16:37:26,0,NONE
INV-000331-FAFA,VEND-C4AC9D6F,"Thaman, Sandhu and Sehgal Traders",Transportation,India,Fatehpur,PO-00526B94,HR,2024-12-02,2025-01-31,60,INR,16197.6,0.1022,1655.39,APPROVED,2024-12-02T11:58:14,0,NONE
INV-007732-F3FC,VEND-7472752A,Sood PLC Industries,IT Services,India,Howrah,PO-7DDF56C6,Production,2024-07-15,2024-10-13,90,INR,33043.98,0.18,5947.92,PAID,2024-07-15T11:19:12,0,NONE
INV-007971-76A0,VEND-1A886BA8,"Basu, Ratti and Sarna",Packaging,USA,Panvel,PO-14A0E02B,Finance,2023-05-08,2023-05-23,15,USD,13330.07,0.1001,1334.34,PAID,2023-05-08T15:14:47,0,NONE
INV-005201-BCD2,VEND-81371C74,"Pandya, Bora and Ranganathan",Office Supplies,Germany,Junagadh,PO-C75E5D04,Procurement,2024-04-17,2024-05-02,15,EUR,5390.5,0.1035,557.92,PAID,2024-04-17T17:02:12,0,NONE
INV-008679-DD66,VEND-A4456B78,Dugar-Pingle Pvt Ltd,Packaging,India,Anantapur,PO-1869C4E2,Procurement,2023-12-12,2024-02-10,60,INR,10668.68,0.0594,633.72,OVERDUE,2023-12-12T12:59:10,0,NONE
INV-002284-0D3C,VEND-5841460D,"Sidhu, Wadhwa and Krishnamurthy",Office Supplies,India,Raipur,PO-E212A398,IT,2023-09-14,2023-10-14,30,INR,22823.2,0.0542,1237.02,PAID,2023-09-14T12:21:33,0,NONE
INV-009712-8604,VEND-65DC71CE,"Bhalla, Pandey and Tripathi Industries",Maintenance,India,Tirupati,PO-6A73AE35,IT,2023-10-18,2023-11-17,30,INR,15152.75,0.0673,1019.78,PAID,2023-10-18T17:37:37,0,NONE
INV-009961-0048,VEND-74040350,Solanki-Raj,Raw Materials,India,Saharanpur,PO-F24F497D,Facilities,2024-10-08,2024-11-22,45,INR,154740.54,0.1123,17377.36,PAID,2024-10-08T17:22:27,0,NONE
INV-003409-9953,VEND-CFBF42F8,Issac-Rajagopalan Enterprises,Consulting,Germany,Aligarh,PO-B778BC87,Operations,2024-09-04,2024-09-19,15,EUR,113931.87,0.18,20507.74,PAID,2024-09-04T11:11:12,0,NONE
INV-902482-FF21,VEND-CD5A4B02,Mukherjee-Varma,Electronics,India,Tinsukia,PO-F4FE8CA4,Operations,2023-08-31,2023-09-30,30,INR,500000.0,0.1421,71050.0,OVERDUE,2023-08-31T23:26:08,1,ROUNDED
INV-901128-C49D,VEND-228204EA,"Walla, Chander and Thakkar Enterprises",Electronics,China,Guntakal,PO-DFB6E979,Logistics,2024-09-26,2024-11-25,60,CNY,153152.74,0.1274,19511.66,PENDING,2024-09-26T11:22:21,1,PO_MISMATCH
INV-011317-808B,VEND-5CE64E5A,Ahuja PLC & Co,Packaging,India,Ahmedabad,PO-B3F935A0,HR,2024-01-09,2024-01-24,15,INR,35472.36,0.0925,3281.19,PAID,2024-01-09T12:16:30,0,NONE
INV-010573-57DD,VEND-A101D0BB,Ravel Ltd,Packaging,India,Farrukhabad,PO-C06E5791,Marketing,2024-08-27,2024-09-26,30,INR,5919.78,0.1097,649.4,PAID,2024-08-27T10:00:26,0,NONE
INV-004101-DB18,VEND-2C8BDA34,Sama PLC Industries,Packaging,India,Rajkot,PO-810D3D85,Facilities,2024-12-19,2025-02-17,60,INR,45247.91,0.0828,3746.53,OVERDUE,2024-12-19T09:08:23,0,NONE
INV-009146-4ACE,VEND-B385FB77,"Nazareth, Kurian and Suresh Industries",Office Supplies,China,Jaunpur,PO-8863676A,HR,2024-07-29,2024-08-28,30,CNY,19842.06,0.086,1706.42,APPROVED,2024-07-29T09:10:09,0,NONE
INV-011305-FDAC,VEND-BEC1FB4C,Saini Ltd,Transportation,India,Bhilwara,PO-C053AEDE,Procurement,2024-10-17,2025-01-15,90,INR,20269.83,0.1192,2416.16,PAID,2024-10-17T17:11:29,0,NONE
INV-000966-9204,VEND-3C80B016,Ratta-Kohli Pvt Ltd,Packaging,India,Kolkata,PO-83F7F5B3,Operations,2023-04-07,2023-05-07,30,INR,6011.89,0.0753,452.7,APPROVED,2023-04-07T09:00:45,0,NONE
INV-004379-DAA6,VEND-156CC818,Shukla Inc Inc,IT Services,Germany,Hospet,PO-24360E2C,HR,2023-07-31,2023-10-29,90,EUR,153195.56,0.18,27575.2,PAID,2023-07-31T09:49:05,0,NONE
INV-003208-09BD,VEND-0F7059A6,"Pau, Chana and Rana LLC",Packaging,India,Bilaspur,PO-DE991F21,R&D,2023-10-02,2023-12-31,90,INR,37267.03,0.0583,2172.67,PENDING,2023-10-02T10:59:19,0,NONE
INV-902440-E1DD,VEND-4565EE99,Rege-Narain Pvt Ltd,Machinery,India,Sagar,PO-BC0A6C86,Marketing,2024-01-26,2024-02-25,30,INR,300000.0,0.1202,36060.0,PAID,2024-01-26T17:49:25,1,ROUNDED
INV-901629-7295,VEND-1D21A290,Karpe-Kota,IT Services,India,Sri Ganganagar,PO-1E7FB305,Marketing,2023-02-11,2023-02-26,15,INR,53085.13,0.18,9555.32,PAID,2023-02-11T06:00:27.686328,1,BURST
INV-009782-1AB4,VEND-9B3EB04B,Devan Ltd Industries,Office Supplies,India,Bhalswa Jahangir Pur,PO-456F2929,Operations,2024-05-30,2024-07-14,45,INR,8004.2,0.092,736.39,PAID,2024-05-30T14:51:31,0,NONE
INV-001099-9CA2,VEND-A5D0D86C,"Bhasin, Chaudhary and Johal",IT Services,India,Bilaspur,PO-BC393C69,IT,2024-09-23,2024-11-07,45,INR,40362.72,0.18,7265.29,PAID,2024-09-23T09:07:35,0,NONE
INV-011390-59F4,VEND-46B7E4A6,Jaggi-Bassi Inc,Office Supplies,India,Kalyan-Dombivli,PO-DAF01F68,HR,2023-05-12,2023-07-11,60,INR,9565.94,0.1192,1140.26,PENDING,2023-05-12T17:54:27,0,NONE
INV-008294-63DC,VEND-D32FBE9C,Suri-Cherian,Office Supplies,India,Mirzapur,PO-72078464,IT,2024-09-13,2024-10-28,45,INR,7329.09,0.1165,853.84,PAID,2024-09-13T12:53:00,0,NONE
INV-900539-09A2,VEND-4B1C628E,Doctor-Nath,Machinery,India,Ballia,PO-29332955,IT,2024-12-25,2025-01-09,15,INR,4377630.19,0.1477,646575.98,PAID,2024-12-25T23:38:17,1,AMOUNT_INFLATION
INV-008016-5FD9,VEND-FE4C7D9B,"Swaminathan, Sem and Badal",Machinery,India,Durg,PO-B9A2167C,Finance,2024-03-20,2024-05-19,60,INR,546173.43,0.1627,88862.42,PAID,2024-03-20T12:35:54,0,NONE
INV-002516-67F5,VEND-11364066,"Chad, Mukherjee and Puri",Transportation,Singapore,Warangal,PO-7AFC437E,R&D,2023-02-02,2023-05-03,90,SGD,16275.07,0.0874,1422.44,APPROVED,2023-02-02T18:55:55,0,NONE
INV-004218-9AB8,VEND-B989A3C8,"Narayanan, Pandey and Setty Industries",Consulting,India,Farrukhabad,PO-EA855F18,Production,2023-02-09,2023-03-26,45,INR,73364.32,0.18,13205.58,APPROVED,2023-02-09T14:47:35,0,NONE
INV-000562-B35F,VEND-D32FBE9C,Suri-Cherian,Office Supplies,India,Mirzapur,PO-1E8AF477,Finance,2023-11-29,2024-01-13,45,INR,8071.89,0.1165,940.38,PAID,2023-11-29T17:43:26,0,NONE
INV-006892-7149,VEND-B63F5D3A,Bakshi-Gola LLC,Transportation,India,Bulandshahr,PO-14795006,Facilities,2024-10-21,2024-12-05,45,INR,42349.39,0.052,2202.17,PAID,2024-10-21T16:28:24,0,NONE
INV-009724-1424,VEND-05243351,"Kant, Dhingra and Babu LLC",Maintenance,India,Begusarai,PO-B693BEBE,Operations,2023-03-29,2023-04-28,30,INR,11771.67,0.0655,771.04,PAID,2023-03-29T14:36:56,0,NONE
INV-002419-51B1,VEND-95A9084E,Randhawa LLC Traders,Electronics,India,Korba,PO-12FAD3CB,Logistics,2024-08-19,2024-10-18,60,INR,31897.49,0.1234,3936.15,PAID,2024-08-19T09:53:00,0,NONE
INV-003455-439A,VEND-51CAE0F5,"Majumdar, Anne and Varughese & Co",Office Supplies,India,Guwahati,PO-6A925EE0,Logistics,2024-07-28,2024-09-26,60,INR,23790.95,0.0711,1691.54,PENDING,2024-07-28T20:36:36,1,DUPLICATE
INV-009451-7C9F,VEND-1871E88E,"Sur, Vyas and Morar & Co",Packaging,China,Muzaffarnagar,PO-97B7360C,Facilities,2023-01-19,2023-02-03,15,CNY,14282.58,0.1033,1475.39,PAID,2023-01-19T16:48:04,0,NONE
INV-005471-DE03,VEND-2C8BDA34,Sama PLC Industries,Packaging,India,Rajkot,PO-09514053,Operations,2024-11-18,2025-01-17,60,INR,31239.92,0.0828,2586.67,PAID,2024-11-18T10:09:27,0,NONE
INV-010355-8F1F,VEND-F9E125F1,Chad-Kibe Enterprises,IT Services,India,Nadiad,PO-68682D4C,Finance,2024-10-15,2025-01-13,90,INR,196452.96,0.18,35361.53,PAID,2024-10-15T09:09:51,0,NONE
INV-901917-552B,VEND-3B6A32E3,"Tata, Randhawa and Shanker",Machinery,India,Bilaspur,PO-7A8A5A44,Procurement,2023-02-22,2023-03-24,30,INR,581150.93,0.3939,228915.35,PAID,2023-02-22T10:39:55,1,TAX
INV-004015-B9B2,VEND-6533B9AF,"Khare, Rajagopal and Kaur LLC",Raw Materials,UAE,Varanasi,PO-5FD0E908,Finance,2024-01-17,2024-02-01,15,AED,100954.46,0.0831,8389.32,OVERDUE,2024-01-17T16:38:51,0,NONE
INV-009738-BE39,VEND-A9370B11,"Behl, Mani and Muni",Packaging,India,Vasai-Virar,PO-E7FFBA27,Operations,2023-12-06,2024-03-05,90,INR,50566.19,0.1029,5203.26,PAID,2023-12-06T17:22:48,0,NONE
INV-003680-5FAC,VEND-0C1BC5F3,"Jani, Roy and Thaker & Co",Electronics,China,Ghaziabad,PO-99D5DCA5,IT,2023-01-18,2023-03-04,45,CNY,47556.55,0.1671,7946.7,APPROVED,2023-01-18T16:09:17,0,NONE
INV-006792-35BB,VEND-05A0CB58,Krishnamurthy-Behl Pvt Ltd,Office Supplies,India,Bhusawal,PO-B4117C1E,Finance,2023-07-31,2023-08-30,30,INR,4081.5,0.0657,268.15,PAID,2023-07-31T18:47:27,0,NONE
INV-009585-71EF,VEND-3A62752F,Chand Inc LLC,Maintenance,India,Bhiwani,PO-B503C21D,Logistics,2023-01-09,2023-03-10,60,INR,2845.79,0.1154,328.4,PAID,2023-01-09T15:11:08,0,NONE
INV-003141-8849,VEND-D1804190,Misra Group,Office Supplies,India,Katihar,PO-CC4DE60E,Finance,2024-05-09,2024-06-23,45,INR,6335.54,0.1096,694.38,PENDING,2024-05-09T10:36:02,0,NONE
INV-005850-740E,VEND-0F7059A6,"Pau, Chana and Rana LLC",Packaging,India,Bilaspur,PO-E6B67219,Facilities,2023-03-28,2023-06-26,90,INR,41033.5,0.0583,2392.25,PAID,2023-03-28T12:08:09,0,NONE
INV-006557-74A9,VEND-3932EAFC,"Loyal, Naidu and Korpal Enterprises",Electronics,USA,Alwar,PO-561365F1,Logistics,2024-10-02,2024-10-17,15,USD,52001.87,0.1688,8777.92,APPROVED,2024-10-02T16:58:54,0,NONE
INV-005513-E731,VEND-961E044F,Mody-Kari Industries,Maintenance,India,Nagpur,PO-B9410B20,Operations,2024-07-02,2024-09-30,90,INR,7912.67,0.0758,599.78,PAID,2024-07-02T14:19:07,0,NONE
INV-011391-8F8B,VEND-EF03AC5D,Sahota-Kothari Pvt Ltd,Office Supplies,India,Khammam,PO-0091F091,Operations,2024-01-22,2024-03-07,45,INR,9584.9,0.1042,998.75,REJECTED,2024-01-22T16:20:52,0,NONE
INV-009568-7FD3,VEND-9822AFD4,"Issac, Dua and Prakash Pvt Ltd",Transportation,India,Panvel,PO-6E841779,Logistics,2024-11-25,2025-02-23,90,INR,39396.36,0.0963,3793.87,PAID,2024-11-25T11:30:58,0,NONE
INV-005937-AC2E,VEND-8BD56F4B,Zacharia LLC LLC,Transportation,Germany,Dehradun,PO-E92838E8,Operations,2023-11-02,2023-11-17,15,EUR,21471.2,0.1162,2494.95,PAID,2023-11-02T15:48:34,0,NONE
INV-006789-3CCD,VEND-B2A728F1,"Mangal, Keer and Magar",IT Services,India,Imphal,PO-6C394E67,Finance,2024-11-19,2025-01-18,60,INR,49428.45,0.18,8897.12,PAID,2024-11-19T17:51:16,0,NONE
INV-004113-56E9,VEND-1A886BA8,"Basu, Ratti and Sarna",Packaging,USA,Panvel,PO-96801DFB,Operations,2024-05-13,2024-05-28,15,USD,21648.53,0.1001,2167.02,OVERDUE,2024-05-13T18:52:51,0,NONE
INV-005807-2C0D,VEND-13B72F5D,Dhingra LLC Traders,Office Supplies,UAE,Malegaon,PO-E1826EA5,Logistics,2023-04-14,2023-06-13,60,AED,10057.03,0.115,1156.56,OVERDUE,2023-04-14T16:42:33,0,NONE
INV-003716-0328,VEND-0F7059A6,"Pau, Chana and Rana LLC",Packaging,India,Bilaspur,PO-EB73A314,Facilities,2024-05-16,2024-08-14,90,INR,39622.05,0.0583,2309.97,PAID,2024-05-16T16:37:18,0,NONE
INV-900998-DBCD,VEND-50418E3B,"Lala, Edwin and Sathe",Consulting,USA,Kishanganj,PO-304C3A95,Facilities,2023-01-01,2023-02-15,45,USD,91864.66,0.18,16535.64,PENDING,2023-01-01T21:30:03,1,PO_MISMATCH
INV-010391-F7C1,VEND-B385FB77,"Nazareth, Kurian and Suresh Industries",Office Supplies,China,Jaunpur,PO-0719FBFC,Logistics,2024-12-12,2025-01-11,30,CNY,25346.65,0.086,2179.81,PAID,2024-12-12T12:32:30,0,NONE
INV-010992-1FA4,VEND-34BC0BB6,Varkey-Agarwal Enterprises,Transportation,USA,Haridwar,PO-BB14CBD5,Production,2024-01-03,2024-02-02,30,USD,46592.03,0.0869,4048.85,PENDING,2024-01-03T10:50:37,0,NONE
INV-008374-F4A9,VEND-06A64C25,Misra PLC,Raw Materials,India,Thanjavur,PO-F4613FC9,IT,2023-12-03,2024-03-02,90,INR,338170.19,0.0627,21203.27,PENDING,2023-12-03T01:06:25,1,DUPLICATE
INV-003507-1DE8,VEND-EF9ED780,"Munshi, Gupta and Dutta",Maintenance,India,Kottayam,PO-0100ABD7,Finance,2024-05-06,2024-07-05,60,INR,6149.78,0.0596,366.53,PENDING,2024-05-06T16:01:13,0,NONE
INV-001124-18D6,VEND-7FF590E3,Devan Inc Industries,Transportation,India,Vellore,PO-892D49D3,Operations,2023-11-10,2023-12-25,45,INR,16191.08,0.1077,1743.78,PAID,2023-11-10T15:30:02,0,NONE
INV-008840-714B,VEND-41BE8CD1,"Contractor, Kamdar and Shroff",Raw Materials,USA,Arrah,PO-087608F1,HR,2024-12-27,2025-02-25,60,USD,107523.61,0.0599,6440.66,PAID,2024-12-27T18:13:24,0,NONE
INV-001307-98E1,VEND-2C8BDA34,Sama PLC Industries,Packaging,India,Rajkot,PO-3E05FC86,Production,2023-10-23,2023-12-22,60,INR,63816.41,0.0828,5284.0,PAID,2023-10-23T09:50:32,0,NONE
INV-003941-CEBE,VEND-4568B5E4,Subramaniam-Merchant LLC,Office Supplies,India,Raipur,PO-A19D3E07,Procurement,2024-11-19,2025-01-03,45,INR,10758.07,0.07,753.06,OVERDUE,2024-11-19T18:43:12,0,NONE
INV-002806-0C97,VEND-9822AFD4,"Issac, Dua and Prakash Pvt Ltd",Transportation,India,Panvel,PO-95EEE3EF,HR,2024-11-29,2025-02-27,90,INR,54181.73,0.0963,5217.7,APPROVED,2024-11-29T13:07:25,0,NONE
INV-002819-0411,VEND-3B46525D,Sen-Purohit Industries,Transportation,China,Jodhpur,PO-D7C8B7C2,Marketing,2023-01-06,2023-04-06,90,CNY,6096.92,0.0808,492.63,PAID,2023-01-06T18:16:25,0,NONE
INV-SEQ-671538,VEND-95BC5063,"Choudhary, Saha and Morar",IT Services,India,Kavali,PO-B7A89B2D,Production,2023-03-24,2023-06-22,90,INR,31083.8,0.18,5595.08,PAID,2023-03-24T04:50:02,1,SEQUENTIAL
INV-000282-2DD1,VEND-B385FB77,"Nazareth, Kurian and Suresh Industries",Office Supplies,China,Jaunpur,PO-0719FBFC,Logistics,2023-01-06,2023-02-05,30,CNY,20765.77,0.086,1785.86,PAID,2023-01-06T09:00:08,0,NONE
INV-010255-D21E,VEND-E3A8DA44,Dora Inc Pvt Ltd,Packaging,India,Dibrugarh,PO-81481DFB,HR,2023-12-21,2024-02-19,60,INR,23081.44,0.0785,1811.89,PAID,2023-12-21T12:47:00,0,NONE
INV-002123-6432,VEND-841EE0E4,"Naik, Babu and Ghosh",Office Supplies,India,Faridabad,PO-761C53E8,Operations,2024-06-12,2024-09-10,90,INR,8466.97,0.115,973.7,OVERDUE,2024-06-12T12:50:28,0,NONE
INV-006408-9D85,VEND-166089C3,"Solanki, Kibe and Solanki Enterprises",Raw Materials,India,Jhansi,PO-8C5A1E7C,Production,2023-08-30,2023-09-29,30,INR,42362.69,0.0748,3168.73,PAID,2023-08-30T16:00:40,0,NONE
INV-002022-8595,VEND-EA916ECB,"Rattan, Boase and Dhar LLC",Packaging,India,Mysore,PO-6745375E,HR,2024-05-22,2024-07-21,60,INR,48366.69,0.105,5078.5,REJECTED,2024-05-22T16:20:36,0,NONE
